Date,Description,Expense,Income,Balance
2024-10-01,VDP-Revolut**3820*,10.0,0.0,162.08
2024-10-01,VDP-Revolut**3820*,40.0,0.0,122.08
2024-10-02,VDC-ISS CARDINAL H,7.7,0.0,114.38
2024-10-03,SAVINGS,10.0,0.0,104.38
2024-10-03,VDC-ISS CARDINAL H,0.95,0.0,103.43
2024-10-03,VDC-ISS CARDINAL H,3.5,0.0,99.93
2024-10-04,VDC-ISS CARDINAL H,3.7,0.0,96.23
2024-10-04,VDC-ISS CARDINAL H,7.8,0.0,88.43
2024-10-07,HOLIDAY,0.0,500.0,588.43
2024-10-07,VDP-Revolut**3820*,10.0,0.0,578.43
2024-10-07,VDC-ISS CARDINAL H,7.0,0.0,571.43
2024-10-07,VDC-SPAR EXPRESS T,34.5,0.0,536.93
2024-10-08,VDC-STARBUCKS,10.52,0.0,484.36
2024-10-08,VDC-WH Smith Dubli,20.24,0.0,464.12
2024-10-08,VDP-Revolut**3820*,25.0,0.0,511.93
2024-10-08,VDC-AROMA BARBERS,17.05,0.0,494.88
2024-10-09,VDC-Zettle_*LIVERP,4.85,0.0,325.31
2024-10-09,VDC-SUBWAY 55491-1,17.05,0.0,330.16
2024-10-09,VDC-STARBUCKS,7.8,0.0,347.21
2024-10-09,VDC-ST JOHN'S BEAC,8.53,0.0,355.01
2024-10-09,VDC-HISTORIC LIVER,12.19,0.0,363.54
2024-10-09,VDC-FIRST SOUTH YO,2.44,0.0,375.73
2024-10-09,VDP-Revolut**3820*,10.0,0.0,378.17
2024-10-09,VDP-JD WETHERSPOON,13.23,0.0,406.61
2024-10-09,VDP-JD WETHERSPOON,11.79,0.0,419.84
2024-10-09,VDP-JD WETHERSPOON,10.83,0.0,431.63
2024-10-09,VDP-JD WETHERSPOON,10.83,0.0,442.46
2024-10-09,VDP-JD WETHERSPOON,10.83,0.0,453.29
2024-10-09,VDP-JD WETHERSPOON,18.44,0.0,388.17
2024-10-10,VDC-STAGECOACH,2.44,0.0,256.27
2024-10-10,VDC-STAGECOACH,2.44,0.0,253.83
2024-10-10,VDC-FIVE GUYS LIVE,6.99,0.0,281.79
2024-10-10,VDC-SQ *THE BRITIS,23.08,0.0,258.71
2024-10-10,VDC-ASDA STORES,6.19,0.0,291.21
2024-10-10,VDC-FIRST SOUTH YO,2.43,0.0,288.78
2024-10-10,VDP-JD WETHERSPOON,17.93,0.0,297.4
2024-10-10,VDP-JD WETHERSPOON,9.98,0.0,315.33
2024-10-11,VDC-T4 SHEFFIELD,6.44,0.0,1958.21
2024-10-11,VDC-TESCO STORES 6,3.88,0.0,1964.65
2024-10-11,VDC-TENPIN,15.81,0.0,1968.53
2024-10-11,VDC-NATIONAL EMERG,10.33,0.0,1984.34
2024-10-11,VDC-GDK MEADOWHALL,14.32,0.0,1994.67
2024-10-11,VDC-FIRST SOUTH YO,2.43,0.0,2011.42
2024-10-11,VDC-FIRST SOUTH YO,2.43,0.0,2008.99
2024-10-11,VDP-Revolut**3820*,30.0,0.0,2627.25
2024-10-11,VDP-Revolut**3820*,10.0,0.0,2657.25
2024-10-11,VDA-LBG  - BANK CA,49.0,0.0,2667.25
2024-10-11,VDA-COMMISSION,2.0,0.0,2716.25
2024-10-11,NAL HEALTH IR24100,0.0,2464.42,2718.25
2024-10-11,*MOBI SAVINGS,613.4,0.0,2013.85
2024-10-14,*MOBI AIB VISA,3.4,0.0,619.87
2024-10-14,VDC-WH Smith Dubli,5.73,0.0,570.07
2024-10-14,VDC-TGC WHITE ROSE,2.73,0.0,575.8
2024-10-14,VDC-TENPIN LTD - 1,33.12,0.0,578.53
2024-10-14,VDC-SOUTH YORKSHIR,8.22,0.0,611.65
2024-10-14,*INET SOLIDWORKS,1050.0,0.0,623.27
2024-10-14,VDP-FACEBK *QZUUEC,2.46,0.0,1955.75
2024-10-14,VDP-Revolut**3820*,100.0,0.0,1773.97
2024-10-14,VDP-Revolut**3820*,60.0,0.0,1873.97
2024-10-14,VDP-JD WETHERSPOON,16.86,0.0,1933.97
2024-10-14,VDP-FACEBK *Z2RNFC,2.46,0.0,1950.83
2024-10-14,VDP-FACEBK *TC23GC,2.46,0.0,1953.29
2024-10-14,VDP-Trading 212,100.7,0.0,1673.27
2024-10-15,VDP-TransferWise,60.68,0.0,509.39
2024-10-16,VDP-PHELAN CONAN,33.0,0.0,476.39
2024-10-16,VDC-ISS CARDINAL H,6.1,0.0,470.29
2024-10-16,VDC-ISS CARDINAL H,7.25,0.0,463.04
2024-10-17,VDC-ISS CARDINAL H,5.95,0.0,418.19
2024-10-17,VDC-ISS CARDINAL H,5.0,0.0,424.14
2024-10-17,VDC-ISS CARDINAL H,3.9,0.0,429.14
2024-10-17,VDP-OXIGEN ENVIRON,30.0,0.0,433.04
2024-10-18,VDP-WWW.AMAZON.* T,23.83,0.0,394.36
2024-10-18,WITHDRAWAL,150.5,0.0,243.86
2024-10-18,VDC-ISS CARDINAL H,4.6,0.0,239.26
